Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
60449,ec21,NDOT 3 330,D,District 3  330,Public Works,Department of Transportation
60450,ec22,NDOT 3 Norfolk S,D,District 3  Norfolk 331,Public Works,Department of Transportation
60451,ec23,NDOT 3 332,D,District 3  332,Public Works,Department of Transportation
60452,ec24,NDOT 3 W Point,D,District 3  West Point 333,Public Works,Department of Transportation
60453,ec25,NDOT 3 340,D,District 3  340 Areawide 341 342 343,Public Works,Department of Transportation
60454,ec26,NDOT 3 S Sioux,D,District 3  South Sioux City 341,Public Works,Department of Transportation
60455,ec27,NDOT 3 Lyons,D,District 3  Lyons 342,Public Works,Department of Transportation
60456,ec28,NDOT 3 350,D,District 3  350,Public Works,Department of Transportation
60457,ec29,NDOT 3 Wayne,D,District 3  Wayne 351,Public Works,Department of Transportation
60458,ec2a,NDOT 3 Crofton,D,District 3  CroftonHartington 352,Public Works,Department of Transportation
60459,ec2b,NDOT 3 LarlNewC,D,District 3  LaurelNew Castle 353,Public Works,Department of Transportation
60460,ec2c,NDOT 4 District,D,District 4  District Wide,Public Works,Department of Transportation
60461,ec2d,NDOT 4 Construct,D,District 4  Construction,Public Works,Department of Transportation
60462,ec2e,NDOT 4 Mtce,D,District 4  Maintenance,Public Works,Department of Transportation
60463,ec2f,NDOT 4 410,D,District 4  410,Public Works,Department of Transportation
60464,ec30,NDOT 4 411,D,District 4  411,Public Works,Department of Transportation
60465,ec31,NDOT 4 412,D,District 4  412,Public Works,Department of Transportation
60466,ec32,NDOT 4 413,D,District 4  413,Public Works,Department of Transportation
60467,ec33,NDOT 4 Greeley,D,District 4  Greeley 414,Public Works,Department of Transportation
60468,ec34,NDOT 4 415,D,District 4  415,Public Works,Department of Transportation
60469,ec35,NDOT 4 Boelus,D,District 4  Boelus 416,Public Works,Department of Transportation
60470,ec36,NDOT 4 430,D,District 4  430,Public Works,Department of Transportation
60471,ec37,NDOT 4 431,D,District 4  431,Public Works,Department of Transportation
60472,ec38,NDOT 4 432,D,District 4  432,Public Works,Department of Transportation
60473,ec39,NDOT 4 433,D,District 4  433,Public Works,Department of Transportation
60474,ec3a,NDOT 4 Osceola,D,District 4  Osceloa 435,Public Works,Department of Transportation
60475,ec3b,NDOT 4 440,D,District 4  440,Public Works,Department of Transportation
60476,ec3c,NDOT 4 Hwy 30A,D,District 4  Highway 30A 441,Public Works,Department of Transportation
60477,ec3d,NDOT 4 Grand Is,D,District 4  Grand Island 442,Public Works,Department of Transportation
60478,ec3e,NDOT 4 Loup City,D,District 4  Loup City 443,Public Works,Department of Transportation
60479,ec3f,NDOT 4 444,D,District 4  444,Public Works,Department of Transportation
60480,ec40,NDOT 4 Hwy 30B,D,District 4  Highway 30B 445,Public Works,Department of Transportation
60481,ec41,NDOT 4 Hastings,D,District 4  Hastings 450,Public Works,Department of Transportation
60482,ec42,NDOT 4 451,D,District 4  451,Public Works,Department of Transportation
60483,ec43,NDOT 4 452,D,District 4  452,Public Works,Department of Transportation
60484,ec44,NDOT 4 453,D,District 4  453,Public Works,Department of Transportation
60485,ec45,NDOT 4 Aurora,D,District 4  Aurora 454,Public Works,Department of Transportation
60486,ec46,NDOT 5 District,D,District 5  District Wide,Public Works,Department of Transportation
60487,ec47,NDOT 5 Construct,D,District 5  Construction,Public Works,Department of Transportation
60488,ec48,NDOT 5 Mtce,D,District 5  Maintenance,Public Works,Department of Transportation
60489,ec49,NDOT 5 510,D,District 5  510,Public Works,Department of Transportation
60490,ec4a,NDOT 5 511,D,District 5  511,Public Works,Department of Transportation
60491,ec4b,NDOT 5 512,D,District 5  512,Public Works,Department of Transportation
60492,ec4c,NDOT 5 513,D,District 5  513,Public Works,Department of Transportation
60493,ec4d,NDOT 5 514,D,District 5  514,Public Works,Department of Transportation
60494,ec4e,NDOT 5 520,D,District 5  520,Public Works,Department of Transportation
60495,ec4f,NDOT 5 522,D,District 5  522,Public Works,Department of Transportation
60496,ec50,NDOT 5 523,D,District 5  523,Public Works,Department of Transportation
60497,ec51,NDOT 5 Gering,D,District 5  Gering 524,Public Works,Department of Transportation
60498,ec52,NDOT 5 I80,D,District 5  I80 530,Public Works,Department of Transportation
60499,ec53,NDOT 5 531,D,District 5  531,Public Works,Department of Transportation
60500,ec54,NDOT 5 Kimball,D,District 5  Kimball 532,Public Works,Department of Transportation
60501,ec55,NDOT 5 Sidney,D,District 5  Sidney 533,Public Works,Department of Transportation
60502,ec56,NDOT 6 District,D,District 6  District Wide,Public Works,Department of Transportation
60503,ec57,NDOT 6 Construct,D,District 6  Construction,Public Works,Department of Transportation
60504,ec58,NDOT 6 Mtce,D,District 6  Maintenance,Public Works,Department of Transportation
60505,ec59,NDOT 6 Lexington,D,District 6  Lexington 610,Public Works,Department of Transportation
60506,ec5a,NDOT 6 611,D,District 6  611,Public Works,Department of Transportation
60507,ec5b,NDOT 6 612,D,District 6  612,Public Works,Department of Transportation
60508,ec5c,NDOT 6 620,D,District 6  620,Public Works,Department of Transportation
60509,ec5d,NDOT 6 621,D,District 6  621,Public Works,Department of Transportation
60510,ec5e,NDOT 6 622,D,District 6  622,Public Works,Department of Transportation
60511,ec5f,NDOT 6 630,D,District 6  630,Public Works,Department of Transportation
60512,ec60,NDOT 6 631,D,District 6  631,Public Works,Department of Transportation
60513,ec61,NDOT 6 632,D,District 6  632,Public Works,Department of Transportation
60514,ec62,NDOT 6 BrokenBow,D,District 6  Broken Bow 640,Public Works,Department of Transportation
60515,ec63,NDOT 6 641,D,District 6  641,Public Works,Department of Transportation
60516,ec64,NDOT 6 642,D,District 6  642,Public Works,Department of Transportation
60517,ec65,NDOT 6 650,D,District 6  650,Public Works,Department of Transportation
60518,ec66,NDOT 6 651,D,District 6  651,Public Works,Department of Transportation
60519,ec67,NDOT 6 652,D,District 6  652,Public Works,Department of Transportation
60520,ec68,NDOT 7 District,D,District 7  District Wide,Public Works,Department of Transportation
60521,ec69,NDOT 7 Construct,D,District 7  Construction,Public Works,Department of Transportation
60522,ec6a,NDOT 7 Mtce,D,District 7  Maintenance,Public Works,Department of Transportation
60523,ec6b,NDOT 7 710,D,District 7  710,Public Works,Department of Transportation
60524,ec6c,NDOT 7 711,D,District 7  711,Public Works,Department of Transportation
60525,ec6d,NDOT 7 Holdrege,D,District 7  Holdrege 714,Public Works,Department of Transportation
60526,ec6e,NDOT 7 Minden,D,District 7  Minden 715,Public Works,Department of Transportation
60527,ec6f,NDOT 7 720,D,District 7  720,Public Works,Department of Transportation
60528,ec70,NDOT 7 Lexington,D,District 7  Lexington 721,Public Works,Department of Transportation
60529,ec71,NDOT 7 722,D,District 7  722,Public Works,Department of Transportation
60530,ec72,NDOT 7 723,D,District 7  723,Public Works,Department of Transportation
60531,ec73,NDOT 7 730,D,District 7  730,Public Works,Department of Transportation
60532,ec74,NDOT 7 731,D,District 7  731,Public Works,Department of Transportation
60533,ec75,NDOt 7 732,D,District 7  732,Public Works,Department of Transportation
60534,ec76,NDOT 8 District,D,NDOR 8  District Wide,Public Works,Department of Transportation
60535,ec77,NDOT 8 Construct,D,District 8  Construction,Public Works,Department of Transportation
60536,ec78,NDOT 8 Mtce,D,District 8  Maintenance,Public Works,Department of Transportation
60537,ec79,NDOT 8 810,D,District 8  810,Public Works,Department of Transportation
60538,ec7a,NDOT 8 811,D,District 8  811,Public Works,Department of Transportation
60539,ec7b,NDOT 8 820,D,District 8  820,Public Works,Department of Transportation
60540,ec7c,NDOT 8 821,D,District 8  821,Public Works,Department of Transportation
60541,ec7d,NDOT 8 822,D,District 8  822,Public Works,Department of Transportation
60542,ec7e,NDOT 8 Burwell,D,District 8  Burwell 823,Public Works,Department of Transportation
60543,ec7f,NDOT 8 830,D,District 8  830,Public Works,Department of Transportation
60544,ec80,NDOT 8 831,D,District 8  831,Public Works,Department of Transportation
60545,ec81,NDOT 8 832,D,District 8  832,Public Works,Department of Transportation
60546,ec82,NDOT Operations,D,Operations,Public Works,Department of Transportation
60601,ecb9,Depart of Revenu,D,Department of Revenue,Public Works,Department of Revenue
60626,ecd2,YRTC 1,D,Youth Rehabilitation  Treatment Center  Geneva 1,Hospital,Department of Heath Human Services
60627,ecd3,YRTC 2,De,Youth Rehabilitation  Treatment Center  Geneva 2,Hospital,Department of Heath Human Services
60678,ed06,NENG Tac 2,D,Tactical 2,Military,Army National Guard
